,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
100,Apple," iPhone 11 (White, 64 GB)",White,64,4.7,"10,800",,,0,6.1,1,68300,0 % off,68300
101,Mi," A3 (Not just Blue, 64 GB)",Not just Blue,64,4.3,"24,784","2,116",4,4030,,1,12999,13% off,14999
102,Samsung, Guru Music 2,,,4.3,"1,33,242","13,736",,800,,1,1760,9% off,1950
103,Realme," 3 (Radiant Blue, 64 GB)",Radiant Blue,64,4.4,"1,64,557","16,222",4,4230,6.22,1,10499,19% off,12999
104,Realme," 3 (Dynamic Black, 64 GB)",Dynamic Black,64,4.4,"4,29,660","42,807",3,4230,6.22,1,9499,20% off,11999
105,Realme," 3 (Radiant Blue, 32 GB)",Radiant Blue,32,4.4,"4,29,660","42,807",3,4230,6.22,1,8499,22% off,10999
106,Realme," 3 (Dynamic Black, 32 GB)",Dynamic Black,32,4.4,"4,29,660","42,807",3,4230,6.22,1,8499,22% off,10999
107,Kechaoda, A26,,,4.1,"2,702",,,800,0.66,1,925,0 % off,925
108,Kechaoda, K66 Plus,,,4.1,"13,884","1,288",,400,1.8,1,949,0 % off,949
109,Lava, GEM,,,4.2,"8,632","1,003",,1750,2.8,,1499,21% off,1899
110,Moto," E6s (Rich Cranberry, 64 GB)",Rich Cranberry,64,4.1,"61,655","5,399",4,3000,6.1,1,7499,25% off,9999
111,Google," Pixel 3a (Just Black, 64 GB)",Just Black,64,4.5,"4,565",,4,3000,5.6,1,30999,22% off,39999
112,Samsung," Galaxy A10s (Black, 32 GB)",Black,32,4.3,,,3,4000,6.2,1,10099,8% off,11000
113,XOLO," Era 4x (Black, 16 GB)",Black,16,4.1,"1,342",,2,3000,5.45,1,4299,40% off,7199
114,Realme," XT (Pearl White, 64 GB)",Pearl White,64,4.5,"69,164","8,413",6,4000,6.4,,17999,0 % off,17999
115,Realme," XT (Pearl White, 64 GB)",Pearl White,64,4.5,"96,570","11,209",4,4000,6.4,,16999,0 % off,16999
116,Realme," XT (Pearl White, 128 GB)",Pearl White,128,4.5,"70,095","8,476",8,4000,6.4,,19999,0 % off,19999
117,Redmi," Go (Blue, 16 GB)",Blue,16,4.3,"1,54,798","12,754",1,3000,,1,4999,16% off,5999
118,Karbonn, Jumbo K9,,,4,"5,968",,,1800,2.6,1,1079,25% off,1455
119,Nokia, TA-1010/105,,,4.3,"26,081","2,408",,800,1.8,1,1099,0 % off,1099
120,Kechaoda, K66 Plus,,,4.1,"13,884","1,288",,850,1.44,,949,0 % off,949
121,Redmi," Note 8 Pro (Gamma Green, 64 GB)",Gamma Green,64,4.5,"16,008","1,276",6,4500,6.53,1,15499,0 % off,15499
122,Redmi," Note 8 Pro (Halo White, 64 GB)",Halo White,64,4.5,"16,008","1,276",6,4500,6.53,1,15190,0 % off,15190
123,Honor," 9N (Midnight Black, 32 GB)",Midnight Black,32,4.4,"2,26,414","21,960",3,3000,5.84,,7999,42% off,13999
124,Honor," 9N (Midnight Black, 128 GB)",Midnight Black,128,4.3,"2,22,007","21,217",4,3000,5.84,,9499,52% off,19999
125,Apple," iPhone 11 (Purple, 64 GB)",Purple,64,4.7,"10,800",,,0,6.1,1,68300,0 % off,68300
126,Redmi," Note 6 Pro (Red, 64 GB)",Red,64,4.5,"1,16,587","10,378",6,4000,6.26,1,11999,33% off,17999
127,Micromax, X741,,,4.1,"14,519","1,497",,1750,2.4,1,1079,56% off,2499
128,Micromax, X741,,,4.1,"14,519","1,497",,1750,2.4,1,1088,55% off,2459
129,Micromax, X1i Power,,,3.9,"11,349","1,324",,1750,2.4,,865,42% off,1499
130,Vivo," Z1x (Phantom Purple, 128 GB)",Phantom Purple,128,4.4,"1,17,712","12,869",6,4500,6.38,1,17990,14% off,20990
131,Vivo," Z1x (Fusion Blue, 128 GB)",Fusion Blue,128,4.5,"10,634","1,358",4,4500,6.38,1,15799,16% off,18990
132,Vivo," Z1x (Fusion Blue, 64 GB)",Fusion Blue,64,4.4,"1,17,712","12,869",6,4500,6.38,1,16990,15% off,19990
133,Vivo," Z1x (Phantom Purple, 64 GB)",Phantom Purple,64,4.4,"1,17,712","12,869",6,4500,6.38,1,16990,15% off,19990
134,Vivo," Z1x (Phantom Purple, 128 GB)",Phantom Purple,128,4.5,"4,028",,8,4500,6.38,1,18990,24% off,24990
135,Redmi," K20 Pro (Glacier Blue, 128 GB)",Glacier Blue,128,4.5,"53,383","6,731",6,4000,6.39,1,26999,6% off,28999
136,Redmi," Note 8 (Moonlight White, 64 GB)",Moonlight White,64,4.4,"10,252",,4,4000,6.3,,11470,11% off,12999
137,Redmi," Note 8 (Space Black, 128 GB)",Space Black,128,4.4,"7,620",,6,4000,6.3,,12999,18% off,15999
138,Google," Pixel 3a (Clearly White, 64 GB)",Clearly White,64,4.5,"4,565",,4,3000,5.6,1,30999,22% off,39999
139,Kechaoda, K33,,,4.1,"1,376",,,1000,1.4,1,880,37% off,1399
140,Kechaoda, K33,,,4.1,"1,376",,,1000,1.4,1,880,37% off,1399
141,Samsung," Galaxy A71 (Prism Crush Blue, 128 GB)",Prism Crush Blue,128,4.6,,,8,4500,6.7,1,31500,9% off,34999
