,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
357,Itel, It 2190,No Color,0,4.1,0,0,0.0,1000.0,1.8,1.0,865,23% off,1125
358,Karbonn, K-Stylo,No Color,0,3.9,2280,0,0.0,1750.0,2.8,1.0,1129,28% off,1590
359,Apple," iPhone 6s (Space Grey, 32 GB)",Space Grey,32,4.5,91366,9301,0.0,0.0,4.7,1.0,25299,15% off,29900
360,Nokia," 2.2 (Steel, 32 GB)",Steel,32,3.9,1454,0,3.0,3000.0,5.71,1.0,6899,32% off,10199
361,Samsung," Galaxy A51 (Prism Crush Blue, 128 GB)",Prism Crush Blue,128,4.4,1149,0,6.0,4000.0,6.4,1.0,25250,2% off,25999
362,Vivo," U10 (Thunder Black, 64 GB)",Thunder Black,64,4.4,12671,1009,3.0,5000.0,6.35,1.0,10490,12% off,11990
363,Nokia, 110,No Color,0,4.1,0,0,0.0,800.0,1.77,1.0,1709,12% off,1949
364,Nokia, 110,No Color,0,4.1,0,0,0.0,800.0,1.77,1.0,1685,13% off,1949
365,Samsung," Galaxy S9 (Midnight Black, 64 GB)",Midnight Black,64,4.4,17061,1387,4.0,3000.0,5.8,1.0,24999,60% off,62500
366,I, Kall K20 New,No Color,0,3.5,1715,0,0.0,1000.0,1.8,1.0,649,0 % off,649
367,Redmi," 6 Pro (Gold, 32 GB)",Gold,32,4.3,10313,0,3.0,4000.0,5.84,1.0,8990,0 % off,8990
368,Karbonn, K1 Prime,No Color,0,3.7,0,0,0.0,800.0,2.4,1.0,749,37% off,1190
369,Lava, A5,No Color,0,4.1,0,0,0.0,1000.0,2.4,1.0,1125,29% off,1599
370,I, Kall K51,No Color,0,4.2,0,0,0.0,1000.0,1.8,1.0,649,0 % off,649
371,I, Kall K38 New with Flash Light support,No Color,0,3.7,1259,0,0.0,800.0,1.8,1.0,549,12% off,549
372,Apple," iPhone 7 Plus (Silver, 32 GB)",Silver,32,4.5,24149,2580,0.0,0.0,5.5,1.0,36999,2% off,37900
373,I, Kall K29,No Color,0,3.8,9632,1405,0.0,1800.0,1.8,1.0,649,0 % off,649
374,I, Kall K29,No Color,0,3.8,9632,1405,0.0,1800.0,1.8,1.0,649,0 % off,649
375,Redmi," Note 8 Pro (Shadow Black, 128 GB)",Shadow Black,128,4.4,2336,0,8.0,4500.0,6.53,1.0,18999,0 % off,18999
376,OPPO," A5s (Blue, 32 GB)",Blue,32,4.4,3907,0,3.0,4230.0,6.2,1.0,9490,32% off,13990
377,iQOO," 3 (Tornado Black, 256 GB)",Tornado Black,256,4.5,0,0,8.0,4440.0,6.44,1.0,41990,0 % off,41990
378,iQOO," 3 (Tornado Black, 128 GB)",Tornado Black,128,4.5,0,0,8.0,4440.0,6.44,1.0,38990,0 % off,38990
379,iQOO," 3 (Quantum Silver, 256 GB)",Quantum Silver,256,4.5,0,0,8.0,4440.0,6.44,1.0,41990,0 % off,41990
380,iQOO," 3 (Volcano Orange, 256 GB)",Volcano Orange,256,4.5,0,0,8.0,4440.0,6.44,1.0,41990,0 % off,41990
381,Karbonn, Kx23,No Color,0,3.7,0,0,0.0,1900.0,2.4,1.0,1099,0 % off,1099
382,Samsung," Galaxy S9 (Coral Blue, 64 GB)",Coral Blue,64,4.4,17061,1387,4.0,3000.0,5.8,1.0,24999,60% off,62500
383,Apple," iPhone XR (Black, 64 GB)",Black,64,4.6,8780,0,0.0,0.0,6.1,1.0,52500,0 % off,52500
384,Mymax, A12,No Color,0,3.9,0,0,0.0,1000.0,1.8,1.0,565,0 % off,565
385,Forme, W1+,No Color,0,3.5,0,0,0.0,1500.0,2.4,1.0,999,0 % off,999
386,Fox, BigDaddy,No Color,0,3.6,2312,0,0.0,3600.0,2.8,1.0,1249,0 % off,1249
387,Fox, BigDaddy,No Color,0,3.6,2312,0,0.0,3600.0,2.8,1.0,1249,0 % off,1249
388,Fox, BigDaddy,No Color,0,3.6,2312,0,0.0,3600.0,2.8,1.0,899,0 % off,899
